file,label,n_events,max_amplitude,fft_bin_0,fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,fft_bin_11,fft_bin_12,fft_bin_13,fft_bin_14,fft_bin_15,fft_bin_16,fft_bin_17,fft_bin_18,fft_bin_19,fft_bin_20,fft_bin_21,fft_bin_22,fft_bin_23,fft_bin_24,fft_bin_25,fft_bin_26,fft_bin_27,fft_bin_28,fft_bin_29,fft_bin_30,fft_bin_31
healthy_000.npy,healthy,0,0.0,8.712180137634277,8.713125228881836,8.712335586547852,8.72044849395752,8.729045867919922,8.73261547088623,8.71992015838623,8.711579322814941,8.715027809143066,8.726729393005371,8.727235794067383,8.700443267822266,8.709871292114258,8.704472541809082,8.693673133850098,8.293837547302246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_001.npy,healthy,0,0.0,8.690518379211426,8.703606605529785,8.71208381652832,8.724525451660156,8.721972465515137,8.725017547607422,8.692412376403809,8.716045379638672,8.706697463989258,8.716485977172852,8.721115112304688,8.694642066955566,8.70659065246582,8.686019897460938,8.721526145935059,8.325602531433105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_002.npy,healthy,0,0.0,8.715609550476074,8.694563865661621,8.712532043457031,8.712566375732422,8.700175285339355,8.69876766204834,8.719827651977539,8.713753700256348,8.729996681213379,8.719038009643555,8.708171844482422,8.722909927368164,8.69504165649414,8.696035385131836,8.706412315368652,8.30617618560791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_003.npy,healthy,0,0.0,8.699455261230469,8.713739395141602,8.72208023071289,8.700505256652832,8.706719398498535,8.73863410949707,8.718263626098633,8.731654167175293,8.707056999206543,8.694185256958008,8.704349517822266,8.708205223083496,8.723392486572266,8.720453262329102,8.73290729522705,8.312711715698242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_004.npy,healthy,1,0.037829118962003735,8.722535133361816,8.730717658996582,8.692195892333984,8.705429077148438,8.714925765991211,8.689411163330078,8.722284317016602,8.732658386230469,8.706337928771973,8.720172882080078,8.687914848327637,8.679666519165039,8.713119506835938,8.725663185119629,8.708175659179688,8.324761390686035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_005.npy,healthy,0,0.0,8.68535041809082,8.724544525146484,8.709396362304688,8.68653392791748,8.702280044555664,8.7136812210083,8.706518173217773,8.70179271697998,8.701972961425781,8.720521926879883,8.71558952331543,8.708048820495605,8.701944351196289,8.696237564086914,8.706419944763184,8.3095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_006.npy,healthy,0,0.0,8.734419822692871,8.725200653076172,8.710685729980469,8.728076934814453,8.711369514465332,8.692349433898926,8.721665382385254,8.70246410369873,8.722891807556152,8.70541000366211,8.7179536819458,8.73425006866455,8.708510398864746,8.707710266113281,8.7190580368042,8.310702323913574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_007.npy,healthy,0,0.0,8.718564987182617,8.71228313446045,8.713869094848633,8.727801322937012,8.722414016723633,8.699980735778809,8.71276569366455,8.713573455810547,8.704251289367676,8.705291748046875,8.71220874786377,8.69134521484375,8.699323654174805,8.723998069763184,8.733707427978516,8.318181037902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_008.npy,healthy,0,0.0,8.696850776672363,8.730186462402344,8.709019660949707,8.678536415100098,8.706018447875977,8.71876335144043,8.692354202270508,8.691471099853516,8.708761215209961,8.710286140441895,8.707999229431152,8.707694053649902,8.700155258178711,8.702110290527344,8.688708305358887,8.335498809814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_009.npy,healthy,0,0.0,8.727180480957031,8.736895561218262,8.707864761352539,8.732331275939941,8.725557327270508,8.6934232711792,8.731180191040039,8.714295387268066,8.736377716064453,8.701498985290527,8.705010414123535,8.729253768920898,8.706721305847168,8.716560363769531,8.715879440307617,8.29317569732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
